"UNICODE","FECHA","INSP_COMPLETA"
"29.29.104.42","7/12/12",1
"29.29.104.43","7/12/12",1
"29.29.104.44","7/12/12",1
"29.29.104.45","7/12/12",1
"29.29.104.46","7/12/12",1
"29.29.104.47","7/14/12",1
"29.29.104.48","7/14/12",1
"29.29.104.49","7/14/12",1
"29.29.104.40","7/14/12",1
"29.29.104.30","7/14/12",1
"29.29.104.31","7/14/12",1
"29.29.104.89","7/16/12",1
"29.29.104.90","7/16/12",1
"29.29.104.91","7/16/12",1
"29.29.104.104","7/16/12",1
"29.29.104.103","7/16/12",1
"29.29.104.102","7/16/12",NA
"29.29.104.101","7/16/12",1
"29.29.104.100","7/16/12",1
"29.29.104.99","7/16/12",1
"29.29.104.97","7/16/12",1
"29.29.104.95","7/17/12",1
"29.29.104.93","7/17/12",1
"29.29.104.92A","7/17/12",1
"29.29.104.92","7/17/12",1
"29.29.104.139","7/17/12",1
"29.29.104.138","7/17/12",1
"29.29.104.136","7/17/12",1
"29.29.104.133","7/17/12",1
"29.29.104.132","7/17/12",1
"29.29.104.131","7/17/12",1
"29.29.104.81","7/17/12",1
"29.29.104.79","7/17/12",1
"29.29.104.77","7/17/12",1
"29.29.104.78","7/17/12",1
"29.29.104.106","7/17/12",1
"29.29.104.108","7/17/12",1
"29.29.104.107","7/17/12",1
"29.29.104.111","7/17/12",1
"29.29.104.112","7/17/12",1
"29.29.104.113","7/18/12",1
"29.29.104.114","7/18/12",1
"29.29.104.115","7/18/12",1
"29.29.104.141","7/18/12",1
"29.29.104.142","7/18/12",1
"29.29.104.143","7/18/12",1
"29.29.104.271","7/18/12",1
"29.29.104.270","7/18/12",1
"29.29.104.267","7/18/12",1
"29.29.104.266","7/20/12",1
"29.29.104.265","7/20/12",1
"29.29.104.130","7/18/12",1
"29.29.104.129","7/18/12",1
"29.29.104.128","7/18/12",1
"29.29.104.127","7/18/12",1
"29.29.104.183","7/18/12",1
"29.29.104.182","7/18/12",1
"29.29.104.181","7/18/12",1
"29.29.104.180","7/18/12",1
"29.29.104.179","7/18/12",1
"29.29.104.178","7/18/12",1
"29.29.104.177","7/19/12",1
"29.29.104.176","7/19/12",1
"29.29.104.175","7/19/12",1
"29.29.104.66","7/17/12",1
"29.29.104.64","7/17/12",1
"29.29.104.61","7/17/12",1
"29.29.104.58","7/17/12",1
"29.29.104.55","7/17/12",1
"29.29.104.88","7/17/12",1
"29.29.104.67","7/17/12",1
"29.29.104.68","7/17/12",1
"29.29.104.69","7/17/12",1
"29.29.104.72","7/18/12",1
"29.29.104.73","7/18/12",1
"29.29.104.74","7/18/12",1
"29.29.104.75","7/18/12",1
"29.29.104.76","7/18/12",1
"29.29.104.125","7/18/12",1
"29.29.104.124","7/18/12",1
"29.29.104.123A","7/18/12",1
