"UNICODE" "codeLoc" "LATITUDE" "LONGITUDE" "recentinsp" "not_sprayed" "probability" "uncertainty" "time"
"1.10.38.605A" "1.10.38" -16.40959187 -71.50731852 "2017-05-08" 1 0.0297897931171113 0.149569997306978 2
"1.10.38.835" "1.10.38" -16.40863454 -71.50553304 "2017-05-22" 1 0.0297396273124566 0.149342347424896 2
"1.10.38.542" "1.10.38" -16.41017831 -71.50807364 "2017-07-31" 1 0.0297234722311219 0.149247426266536 2
"1.10.38.627" "1.10.38" -16.40975095 -71.50685109 "2017-05-12" 1 0.0296756772884429 0.149217701941267 2
"1.10.38.846" "1.10.38" -16.40894046 -71.50656793 "2017-05-25" 1 0.0296610312872231 0.149082444729183 2
"1.10.38.765" "1.10.38" -16.40935781 -71.50524611 "2017-08-30" 0 0.0296138236403141 0.149728976030453 2
"1.10.38.814" "1.10.38" -16.40862712 -71.5061668 "2017-05-18" 0 0.0295875312638682 0.149926761239246 2
"1.10.38.919" "1.10.38" -16.40815931 -71.50551156 "2017-05-25" 1 0.0295627042319401 0.148822819547517 2
"1.10.38.867" "1.10.38" -16.40791333 -71.50327597 "2017-01-22" 1 0.0294926691385123 0.148945751430684 2
"1.10.38.616" "1.10.38" -16.40891263 -71.50734344 "2017-05-10" 1 0.0292382070110083 0.148089801165609 2
"1.10.38.616A" "1.10.38" -16.40891263 -71.50734344 "2017-05-10" 1 0.0292382070110083 0.148089801165609 2
"1.10.38.925" "1.10.38" -16.40824675 -71.50591318 "2017-05-26" 1 0.0290470383354131 0.147412043750744 2
"1.10.38.944" "1.10.38" -16.40830075 -71.50690005 "2017-09-08" 1 0.0290110439293557 0.14714908198425 2
"1.10.38.775" "1.10.38" -16.40886865 -71.50546005 "2017-08-30" 0 0.0288093058930892 0.147756401900477 2
"1.10.38.628" "1.10.38" -16.40972069 -71.50677379 "2017-05-12" 1 0.0287811362607982 0.146805401369676 2
"1.10.38.928" "1.10.38" -16.40832062 -71.50621787 "2017-05-26" 1 0.0287803904449525 0.146663235947012 2
"1.10.38.609" "1.10.38" -16.40940126 -71.50711878 "2017-05-08" 1 0.0287257278992024 0.146680205478852 2
"1.10.38.568" "1.10.38" -16.41018662 -71.5070341 "2017-04-22" 1 0.0287244495931029 0.146654259641045 2
"1.10.38.620A" "1.10.38" -16.40922181 -71.50691567 "2017-05-11" 1 0.0287083713360963 0.146555630844122 2
"1.10.38.840" "1.10.38" -16.40880324 -71.50603215 "2017-05-25" 0 0.0286816122406504 0.147458670059264 2
"1.10.38.937" "1.10.38" -16.40851957 -71.50698672 "2017-05-30" 1 0.0286516548477441 0.146231345340261 2
"1.10.38.733" "1.10.38" -16.40864979 -71.50390061 "1997-01-01" 1 0.0286138774881158 0.146360158987012 22
"1.10.38.622" "1.10.38" -16.40932399 -71.50674973 "2017-05-11" 1 0.0285779829715995 0.146139044468806 2
"1.10.38.792" "1.10.38" -16.40952071 -71.50589094 "2017-05-16" 1 0.0284941623117965 0.145934689093901 2
"1.10.38.658" "1.10.38" -16.41021111 -71.50613784 "1997-01-01" 1 0.02848883806075 0.145897151767166 22
"1.10.38.875" "1.10.38" -16.40824264 -71.50418142 "1997-01-01" 1 0.0284419903456805 0.14666133027646 22
"1.10.38.940" "1.10.38" -16.40855809 -71.50725767 "2017-05-30" 0 0.0283689513211955 0.146413610763519 2
"1.10.38.850A" "1.10.38" -16.40826963 -71.50479253 "2017-01-20" 1 0.0283626241688716 0.146673946879637 2
"1.10.38.769" "1.10.38" -16.40909573 -71.50567184 "2017-04-12" 0 0.0283288742960469 0.146407649952741 2
"1.10.38.723" "1.10.38" -16.40844758 -71.50303332 "1997-01-01" 1 0.0282899269507736 0.145043150232938 22
"1.10.38.926" "1.10.38" -16.40825585 -71.50600744 "2017-05-26" 0 0.0282673064654262 0.146340773996188 2
"1.10.38.571" "1.10.38" -16.41035576 -71.50696545 "2017-04-22" 1 0.0282124359997954 0.145207383474259 2
"1.10.38.953" "1.10.38" -16.40801209 -71.50608353 "2017-05-31" 1 0.0282082353455328 0.144997634244736 2
"1.10.38.831" "1.10.38" -16.40855142 -71.50522523 "2017-09-06" 1 0.0282065461786102 0.14520704212551 2
"1.10.38.656" "1.10.38" -16.41029105 -71.50634682 "2017-05-16" 0 0.0281370236044298 0.14600016216648 2
"1.10.38.524" "1.10.38" -16.41009446 -71.50812756 "2017-07-31" 0 0.028124402256571 0.145954833704573 2
"1.10.38.804" "1.10.38" -16.40880479 -71.50700934 "2017-05-16" 0 0.0280331765122822 0.14556185860131 2
"1.10.38.796" "1.10.38" -16.40928178 -71.50624124 "2017-04-12" 1 0.0280060632232654 0.144614268249298 2
"1.10.38.824" "1.10.38" -16.40834067 -71.50515547 "2017-05-18" 0 0.0279872792501999 0.145631185367055 2
"1.10.38.939" "1.10.38" -16.40854948 -71.50713581 "2017-05-30" 1 0.0279703443152972 0.144311082950212 2
"1.10.38.955" "1.10.38" -16.40791064 -71.50579761 "2017-05-31" 1 0.0279502569550062 0.144303719661074 2
"1.10.38.868" "1.10.38" -16.40797575 -71.50336228 "1997-01-01" 1 0.0279280616402041 0.144733925592619 22
"1.10.38.562" "1.10.38" -16.40979489 -71.50721479 "2017-04-21" 0 0.0279004223185523 0.145388113964769 2
"1.10.38.818" "1.10.38" -16.40852105 -71.50579246 "2017-09-06" 0 0.0278928898754856 0.145333188830887 2
"1.10.38.508" "1.10.38" -16.40975725 -71.50787723 "2017-04-04" 0 0.0278717965039009 0.145645463713474 2
"1.10.38.943" "1.10.38" -16.40835713 -71.50697725 "2017-09-08" 1 0.0277955893248563 0.143825954172662 2
"1.10.38.670" "1.10.38" -16.40980251 -71.50475161 "2017-05-20" 1 0.0277745335705632 0.143444005737219 2
"1.10.38.957" "1.10.38" -16.40783771 -71.50562386 "2017-05-31" 1 0.0277528849138128 0.143771582267984 2
"1.10.38.838" "1.10.38" -16.4087158 -71.50581472 "2017-05-22" 0 0.0277363275720797 0.144877122030694 2
"1.10.38.643" "1.10.38" -16.41010139 -71.50638637 "2017-08-02" 1 0.0275763857066629 0.143521758753664 2
"1.10.38.642" "1.10.38" -16.41006881 -71.50628982 "2017-05-16" 1 0.0274259445177263 0.143053004011511 2
"1.10.38.832" "1.10.38" -16.40858009 -71.50530542 "2017-05-22" 0 0.0273821781262257 0.143960077582126 2
